unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/RockCentral	?UpdateSetlist@RockCentral@@QAAXPAVLocalSavedSetlist@@AAVDataResultList@@PAVObject@Hmx@@HH@Z	1268	98.59306	99.36593	CODEGEN_ORDERING	51	True	{'register': 49, 'relocname': 23, 'immediate': 1}	src/band3/net_band/RockCentral.cpp
default/FreeCamera	?Poll@FreeCamera@@QAAXXZ	1268	91.38486	92.394325	SOURCE_INSDEL	77	False	{'immediate': 11, 'register': 63, 'relocname': 2, 'opcode': 10, 'branchdest': 1}	src/system/world/FreeCamera.cpp
default/band3/game/PerfectSectionTracker	?HandleExitExtent@PerfectSectionTracker@@QAA_NMH_N@Z	1256	92.08917	93.33121	SOURCE_INSDEL	90	False	{'register': 78, 'relocname': 4, 'opcode': 8, 'immediate': 14}	src/band3/game/PerfectSectionTracker.cpp
default/band3/game/PerfectOverdriveTracker	?Poll_@PerfectOverdriveTracker@@UAAXM@Z	1248	99.59936	99.67949	SOURCE_INSDEL	4	False	{'register': 5}	src/band3/game/PerfectOverdriveTracker.cpp
default/system/os/UsbMidiGuitar	?Poll@UsbMidiGuitar@@SAXXZ	1244	98.5627	99.157555	SOURCE_INSDEL	34	False	{'relocname': 5, 'register': 26, 'opcode': 1, 'immediate': 8}	src/system/os/UsbMidiGuitar.cpp
default/system/bandobj/BandTrack	?DisablePlayer@BandTrack@@UAAXH@Z	1240	67.23548	68.44516	SOURCE_INSDEL	167	False	{'relocname': 11, 'register': 66, 'opcode': 3, 'immediate': 3, 'branchdest': 1}	src/system/bandobj/BandTrack.cpp
default/Lit_NG	?SphereConeTest@NgLight@@IAA_NABVVector3@@M@Z	1236	50.032364	54.271843	SOURCE_INSDEL	314	False	{'relocname': 2, 'opcode': 34, 'immediate': 85, 'register': 259}	src/system/rndobj/Lit_NG.cpp
default/Spotlight	?BuildNGSheet@Spotlight@@IAAXAAUBeamDef@1@@Z	1232	94.457794	96.454544	SOURCE_INSDEL	90	False	{'register': 123, 'immediate': 12, 'opcode': 3}	src/system/world/Spotlight.cpp
default/Trans	?ApplyDynamicConstraint@RndTransformable@@AAAXXZ	1224	65.14379	66.76144	SOURCE_INSDEL	181	False	{'register': 97, 'relocname': 4, 'immediate': 27, 'opcode': 4}	src/system/rndobj/Trans.cpp
default/BandCharacter	?Filter@BandCharacter@@UAA?AW4Action@MergeFilter@@PAVObject@Hmx@@0PAVObjectDir@@@Z	1220	71.544266	72.67541	SOURCE_INSDEL	151	False	{'register': 61, 'relocname': 8, 'branchdest': 5, 'immediate': 7, 'opcode': 2}	src/system/bandobj/BandCharacter.cpp
default/FFT	?fft_matrix_forward_columnwise@@YAHPAMJ0@Z	1200	55.08	57.93	SOURCE_INSDEL	248	False	{'relocname': 6, 'immediate': 60, 'register': 126, 'branchdest': 2, 'opcode': 10}	src/system/synth_xbox/FFT.cpp
default/Spotlight	??0Spotlight@@IAA@XZ	1200	78.43667	79.53667	SOURCE_INSDEL	134	False	{'relocname': 11, 'immediate': 41, 'register': 63, 'opcode': 5}	src/system/world/Spotlight.cpp
default/Mesh	?OnSync@RndMesh@@MAAXH@Z	1192	94.67114	96.90269	SOURCE_INSDEL	125	False	{'relocname': 4, 'opcode': 2, 'immediate': 3, 'register': 129, 'branchdest': 2}	src/system/rndobj/Mesh.cpp
default/UIComponent	?Update@UIComponent@@UAAXXZ	1192	95.37248	95.62416	SOURCE_INSDEL	26	False	{'register': 13, 'immediate': 4, 'branchdest': 1, 'relocname': 1}	src/system/ui/UIComponent.cpp
default/Song	?SyncState@Song@@QAAXXZ	1192	95.442955	96.181206	SOURCE_INSDEL	69	False	{'register': 42, 'immediate': 18, 'relocname': 3, 'opcode': 2}	src/system/utl/Song.cpp
default/StorePanel	?Handle@StorePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1192	79.58725	79.60403	SOURCE_INSDEL	80	False	{'immediate': 18, 'branchdest': 1, 'opcode': 1}	src/system/meta/StorePanel.cpp
default/OutfitConfig	?SetSkinTextures@OutfitConfig@@SAXPAVObjectDir@@0PAVBandCharDesc@@@Z	1192	95.07382	95.493286	SOURCE_INSDEL	41	False	{'relocname': 9, 'immediate': 3, 'register': 23, 'opcode': 4}	src/system/bandobj/OutfitConfig.cpp
default/EventTrigger	?TriggerSelf@EventTrigger@@IAAXXZ	1184	96.95946	97.16216	CODEGEN_ORDERING	20	True	{'relocname': 4, 'opcode': 4, 'register': 8}	src/system/rndobj/EventTrigger.cpp
default/Text	?ApplyLineText@RndText@@QAAXABVString@@ABVStyle@1@AAMAAVLine@1@HHPA_N@Z	1180	86.48475	86.755936	SOURCE_INSDEL	55	False	{'register': 15, 'opcode': 10, 'immediate': 3}	src/system/rndobj/Text.cpp
default/system/rndobj/Utl	?TessellateMesh@@YAXPAVRndMesh@@@Z	1176	68.54422	70.32993	SOURCE_INSDEL	183	False	{'relocname': 2, 'immediate': 43, 'register': 98, 'branchdest': 5, 'opcode': 3}	src/system/rndobj/Utl.cpp
